,Family,Count
1,Acanthisittidae,4
2,Acanthizidae,72
3,Accipitridae,295
4,Acrocephalidae,76
5,Aegithalidae,17
6,Aegithinidae,4
7,Aegothelidae,12
8,Alaudidae,124
9,Alcedinidae,142
10,Alcidae,27
11,Anatidae,192
12,Anhimidae,3
13,Anhingidae,5
14,Anseranatidae,1
15,Apodidae,123
16,Apterygidae,7
17,Aramidae,1
18,Ardeidae,82
19,Artamidae,25
20,Atrichornithidae,2
21,Balaenicipitidae,1
22,Bernieridae,11
23,Bombycillidae,3
24,Brachypteraciidae,5
25,Bucconidae,42
26,Bucerotidae,72
27,Buphagidae,2
28,Burhinidae,11
29,Cacatuidae,21
30,Calcariidae,6
31,Callaeidae,7
32,Calyptomenidae,6
33,Calyptophilidae,3
34,Campephagidae,111
35,Capitonidae,21
36,Caprimulgidae,112
37,Cardinalidae,62
38,Cariamidae,2
39,Casuariidae,7
40,Cathartidae,8
41,Certhiidae,11
42,Chaetopidae,3
43,Charadriidae,75
44,Chionidae,2
45,Chloropseidae,17
46,Ciconiidae,22
47,Cinclidae,5
48,Cinclosomatidae,14
49,Cisticolidae,207
50,Climacteridae,7
51,Cnemophilidae,5
52,Coliidae,6
53,Columbidae,418
54,Conopophagidae,14
55,Coraciidae,14
56,Corcoracidae,2
57,Corvidae,153
58,Cotingidae,70
59,Cracidae,61
60,Cuculidae,180
61,Dasyornithidae,3
62,Dicaeidae,63
63,Dicruridae,34
64,Diomedeidae,32
65,Donacobiidae,1
66,Dromadidae,1
67,Dulidae,1
68,Elachuridae,1
69,Emberizidae,48
70,Estrildidae,177
71,Eulacestomidae,1
72,Eupetidae,1
73,Eurylaimidae,16
74,Eurypygidae,1
75,Falconidae,70
76,Falcunculidae,4
77,Formicariidae,13
78,Fregatidae,5
79,Fringillidae,269
80,Furnariidae,396
81,Galbulidae,20
82,Gaviidae,5
83,Glareolidae,18
84,Grallariidae,60
85,Gruidae,15
86,Haematopodidae,15
87,Heliornithidae,3
88,Hemiprocnidae,4
89,Hirundinidae,114
90,Hydrobatidae,21
91,Hyliotidae,5
92,Hylocitreidae,3
93,Hypocoliidae,1
94,Ibidorhynchidae,1
95,Icteridae,132
96,Ifritidae,1
97,Indicatoridae,18
98,Irenidae,4
99,Jacanidae,8
100,Laniidae,40
101,Laridae,120
102,Leiotrichidae,181
103,Leptosomidae,4
104,Locustellidae,79
105,Lybiidae,61
106,Machaerirhynchidae,2
107,Macrosphenidae,23
108,Malaconotidae,61
109,Maluridae,33
110,Megalaimidae,36
111,Megapodiidae,25
112,Melampittidae,2
113,Melanocharitidae,12
114,Melanopareiidae,5
115,Meliphagidae,213
116,Menuridae,2
117,Meropidae,35
118,Mesitornithidae,3
119,Mimidae,34
120,Mitrospingidae,4
121,Modulatricidae,3
122,Mohoidae,5
123,Mohouidae,3
124,Momotidae,16
125,Monarchidae,130
126,Motacillidae,100
127,Muscicapidae,404
128,Musophagidae,25
129,Nectariniidae,181
130,Neosittidae,4
131,Nesospingidae,1
132,Nicatoridae,3
133,Notiomystidae,1
134,Numididae,9
135,Nyctibiidae,7
136,Oceanitidae,11
137,Odontophoridae,38
138,Opisthocomidae,1
139,Oreoicidae,3
140,Oriolidae,47
141,Orthonychidae,4
142,Otididae,29
143,Pachycephalidae,56
144,Pandionidae,3
145,Panuridae,1
146,Paradisaeidae,44
147,Paramythiidae,4
148,Pardalotidae,4
149,Paridae,83
150,Parulidae,136
151,Passerellidae,179
152,Passeridae,51
153,Pedionomidae,1
154,Pelecanidae,9
155,Pellorneidae,76
156,Petroicidae,64
157,Peucedramidae,1
158,Phaenicophilidae,4
159,Phaethontidae,3
160,Phalacrocoracidae,40
161,Phasianidae,215
162,Philepittidae,4
163,Phoenicopteridae,7
164,Phoeniculidae,8
165,Phylloscopidae,94
166,Picathartidae,2
167,Picidae,291
168,Pipridae,57
169,Pittidae,54
170,Pityriasidae,1
171,Platylophidae,1
172,Platysteiridae,43
173,Ploceidae,136
174,Pluvianellidae,1
175,Pluvianidae,1
176,Pnoepygidae,5
177,Podargidae,18
178,Podicipedidae,25
179,Polioptilidae,19
180,Pomatostomidae,5
181,Procellariidae,114
182,Promeropidae,2
183,Prunellidae,14
184,Psittacidae,455
185,Psophiidae,8
186,Psophodidae,5
187,Pteroclidae,16
188,Ptiliogonatidae,4
189,Ptilonorhynchidae,23
190,Pycnonotidae,199
191,Rallidae,190
192,Ramphastidae,81
193,Recurvirostridae,13
194,Regulidae,9
195,Remizidae,15
196,Rhagologidae,1
197,Rheidae,6
198,Rhinocryptidae,68
199,Rhipiduridae,77
200,Rhodinocichlidae,1
201,Rhynochetidae,1
202,Rostratulidae,4
203,Sagittariidae,1
204,Sapayoidae,1
205,Scolopacidae,102
206,Scopidae,1
207,Scotocercidae,41
208,Semnornithidae,2
209,Sittidae,37
210,Spheniscidae,21
211,Spindalidae,5
212,Steatornithidae,1
213,Stenostiridae,9
214,Stercorariidae,10
215,Strigidae,276
216,Strigopidae,4
217,Struthionidae,3
218,Sturnidae,142
219,Sulidae,13
220,Sylviidae,83
221,Teretistridae,2
222,Thamnophilidae,287
223,Thinocoridae,4
224,Thraupidae,461
225,Threskiornithidae,39
226,Timaliidae,70
227,Tinamidae,55
228,Tityridae,56
229,Todidae,5
230,Trochilidae,420
231,Troglodytidae,112
232,Trogonidae,54
233,Turdidae,221
234,Turnicidae,22
235,Tyrannidae,500
236,Tytonidae,26
237,Upupidae,5
238,Urocynchramidae,1
239,Vangidae,45
240,Viduidae,24
241,Vireonidae,72
242,Zeledoniidae,1
243,Zosteropidae,158
